stock_id,date,return,factor,market_value,industry
A,2020-01-01,0.04881350392732475,0.5359033326412808,9156.608489950073,Tech
B,2020-01-01,0.21518936637241948,0.9043971913990313,1255.3565027562686,Tech
C,2020-01-01,0.10276337607164387,0.29487926714121704,4878.892941940417,Finance
D,2020-01-01,0.044883182996896864,0.30886414566898734,6424.258070755656,Finance
E,2020-01-01,-0.07634520066109529,0.627183234547841,5696.041113586421,Energy
F,2020-01-01,0.14589411306665612,0.505191555071379,8894.94310113516,Energy
G,2020-01-01,-0.06241278873730749,0.19586895905880652,6840.334556820059,Tech
H,2020-01-01,0.39177300078207977,0.14472724884257937,8250.331309934056,Finance
I,2020-01-01,0.4636627605010293,0.4894972098053466,6621.259107223453,Energy
J,2020-01-01,-0.1165584811742223,0.7793909564002804,3442.434721645401,Tech
A,2020-01-02,0.2917250380826646,0.7788312515567875,2725.8379648439136,Tech
B,2020-01-02,0.02889491975290448,0.9758036873205908,3499.613429124586,Tech
C,2020-01-02,0.06804456109393231,0.3827181981579947,4081.7814421593034,Finance
D,2020-01-02,0.42559663829266103,0.391989326810261,8268.074735048398,Finance
E,2020-01-02,-0.42896394180211306,0.0018194947805292294,7109.360507704452,Energy
F,2020-01-02,-0.4128707002984593,0.8299173651954892,8268.423644400447,Energy
G,2020-01-02,-0.4797816025596743,0.6466284440680506,9251.36396120809,Tech
H,2020-01-02,0.332619845547938,0.7699221187318909,8147.971587996189,Finance
I,2020-01-02,0.2781567509498505,0.47062319994480306,9622.775748290449,Energy
J,2020-01-02,0.37001214824681916,0.9201934886408648,9498.614395544964,Tech
A,2020-01-03,0.478618342232764,0.029113797832714394,3209.6178425648536,Tech
B,2020-01-03,0.2991585642167236,0.11528118273788834,3923.070592813428,Tech
C,2020-01-03,-0.038520637747068154,0.37601733497150314,5752.05794432731,Finance
D,2020-01-03,0.28052917628645546,0.0851059081135721,6905.461963051508,Finance
E,2020-01-03,-0.3817255741310668,0.08788788196507191,4647.056707987084,Energy
F,2020-01-03,0.13992102132752382,0.5668726793505451,7877.690285240652,Energy
G,2020-01-03,-0.3566467125909536,0.2161220195699175,6320.068128511474,Tech
H,2020-01-03,0.4446689170495839,0.6265352105571295,5958.702789757002,Finance
I,2020-01-03,0.021848321750071675,0.9293998221452582,1453.9511899153922,Energy
J,2020-01-03,-0.08533806000947641,0.8238822097031292,1713.144307299629,Tech
A,2020-01-04,-0.23544438789537303,0.2484303875538083,3132.8722906159255,Tech
B,2020-01-04,0.27423368943421667,0.08966292611132298,9624.750040550563,Tech
C,2020-01-04,-0.04384966778345145,0.9501924682159203,762.1034800886483,Finance
D,2020-01-04,0.06843394886864851,0.9944959313733248,9602.512377161882,Finance
E,2020-01-04,-0.48121019956364486,0.3744948994651792,4771.072314160162,Energy
F,2020-01-04,0.11763549707587706,0.460677261142561,4359.612531948302,Energy
G,2020-01-04,0.11209572272242141,0.14533366133006653,8468.798639039167,Tech
H,2020-01-04,0.11693399687475692,0.7101807927776813,8314.761480110388,Finance
I,2020-01-04,0.44374807851462417,0.4218336068528409,1339.8400883193772,Energy
J,2020-01-04,0.1818202991034834,0.8030151452544093,8117.443998973642,Tech
A,2020-01-05,-0.140492099426214,0.5772967114245704,5107.033625017568,Tech
B,2020-01-05,-0.06296804620065855,0.04278380916663371,3231.270948370465,Tech
C,2020-01-05,0.19763119592726486,0.3349545405035974,1083.7922915508757,Finance
D,2020-01-05,-0.43977452837073017,0.8085961706701537,5922.2773844957355,Finance
E,2020-01-05,0.16676671544566768,0.6881138813839268,7803.315057970145,Energy
F,2020-01-05,0.1706378696181594,0.6325319473789155,8856.745156316405,Energy
G,2020-01-05,-0.2896174389261591,0.6725046423160782,9716.191028062518,Tech
H,2020-01-05,-0.3710737023451467,0.6050368756235982,1231.8852111207511,Finance
I,2020-01-05,-0.18457164907581614,0.6411243265875745,3967.840003617261,Energy
J,2020-01-05,-0.1362892290573774,0.620421104640871,486.7645966913714,Tech
A,2020-01-06,0.07019677041787964,0.5334279395046583,6357.439833950753,Tech
B,2020-01-06,-0.06139848653767965,0.7577471254274131,8876.696096443666,Tech
C,2020-01-06,0.4883738380592262,0.36949256352123194,6872.6306888131,Finance
D,2020-01-06,-0.39795518925197193,0.4752383386405016,3887.0913598374314,Finance
E,2020-01-06,-0.2911232439051653,0.40144955691968986,7599.238559888622,Energy
F,2020-01-06,-0.33869048211500374,0.20921049112192747,9966.12943221773,Energy
G,2020-01-06,0.15310832546539843,0.3218889624998843,11.220393704661769,Tech
H,2020-01-06,-0.2467083974602179,0.05501507760990065,8280.558103309531,Finance
I,2020-01-06,-0.03368922714369371,0.32552763392261075,3262.716168691412,Energy
J,2020-01-06,-0.25557440799839726,0.3905830929331291,7470.6647039968375,Tech
A,2020-01-07,-0.3410304163544803,0.09338409764882383,2370.408602044112,Tech
B,2020-01-07,-0.38962485883569487,0.2204551297120967,2018.204046609119,Tech
C,2020-01-07,0.15632958946527342,0.24954174744284097,8095.98136696598,Finance
D,2020-01-07,-0.3618170486513862,0.2274702082086888,7673.881686428225,Finance
E,2020-01-07,-0.3034176383199465,0.35022170152394927,8112.204908685796,Energy
F,2020-01-07,-0.1312748293390359,0.14487610506997384,7573.401366239354,Energy
G,2020-01-07,0.3209932298479351,0.7315013568444494,958.6204588877312,Tech
H,2020-01-07,-0.40289872420693873,0.3426548553177532,8828.784158610759,Finance
I,2020-01-07,0.3379449074988039,0.12236523402169797,3776.1754897409414,Energy
J,2020-01-07,-0.40390159210603693,0.5935997813267829,2196.6451309804047,Tech
A,2020-01-08,0.47645946501339576,0.1796481751174227,5675.669611991279,Tech
B,2020-01-08,-0.031348798352298424,0.05805632067769373,3458.647563341977,Tech
C,2020-01-08,0.47676108819033713,0.16329214202474285,7098.69774356372,Finance
D,2020-01-08,0.10484551974504597,0.4199948120491419,6946.186119788744,Finance
E,2020-01-08,0.23926357939830167,0.6935089719274358,8501.07453234751,Energy
F,2020-01-08,-0.4608122077456793,0.6415008847712601,9935.585575302799,Energy
G,2020-01-08,-0.21719303742359042,0.005205979359825141,7995.639300224364,Tech
H,2020-01-08,-0.3798034387868311,0.793290652514086,1415.4897217739003,Finance
I,2020-01-08,-0.20385980247785507,0.3356877784624941,7626.427949568992,Energy
J,2020-01-08,-0.38127228104575595,0.6797156909555698,5668.995383859755,Tech
A,2020-01-09,-0.18201682060602398,0.032673171706932846,5631.812409527487,Tech
B,2020-01-09,-0.08573700548533003,0.3937882433723108,3372.456456248537,Tech
C,2020-01-09,-0.43585250365121564,0.019610501319103024,1607.329808337866,Finance
D,2020-01-09,0.19247211937001985,0.8163455351451152,1730.5194118042166,Finance
E,2020-01-09,0.06660145420657515,0.18696718051616434,575.9950627300581,Energy
F,2020-01-09,-0.23461050906055458,0.6745479075190918,8053.498249492414,Energy
G,2020-01-09,0.02324805346669967,0.2770661627261115,7439.484279843109,Tech
H,2020-01-09,-0.4060594892415583,0.13535111433764768,8567.286077597106,Finance
I,2020-01-09,0.07594649555617927,0.9302953390465766,7041.4313004914275,Energy
J,2020-01-09,0.42929619757621407,0.5950246157866221,1677.8600305867496,Tech
A,2020-01-10,-0.18143104754867634,0.8906310472988932,7359.59019803195,Tech
B,2020-01-10,0.1674103799636817,0.30659940165063915,5578.519315361047,Tech
